Filename,Scaled from,Scaled to,MSE,PSNR
0.0,0.0,0.0,0.0,0.0
cv_Density2_2592x1944.png,"(1944, 2592)","(1440, 2560)",0.0912,80.05126666666666
scale_algo_Density2_2592x1944.png,"(1944, 2592)","(1440, 2560)",7.0858,61.14736666666666
cv_testimg_2592x1944.png,"(1944, 2592)","(1440, 2560)",1.8387,67.00616666666666
scale_algo_testimg_2592x1944.png,"(1944, 2592)","(1440, 2560)",32.4364,54.54093333333333
cv_Density_2592x1944.png,"(1944, 2592)","(1440, 2560)",17.4752,57.22703333333334
scale_algo_Density_2592x1944.png,"(1944, 2592)","(1440, 2560)",50.752199999999995,52.596666666666664
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592)","(1440, 2560)",0.3561,74.13553333333333
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592)","(1440, 2560)",7.4133,60.95113333333333
cv_reschart_2592x1944.png,"(1944, 2592)","(1440, 2560)",0.23949999999999996,75.85816666666666
scale_algo_reschart_2592x1944.png,"(1944, 2592)","(1440, 2560)",10.735099999999997,59.34316666666666
cv_Density2_2592x1944.png,"(1944, 2592)","(960, 1280)",0.517,72.51636666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592)","(960, 1280)",672.377,41.37506666666666
cv_testimg_2592x1944.png,"(1944, 2592)","(960, 1280)",9.6052,59.826166666666666
scale_algo_testimg_2592x1944.png,"(1944, 2592)","(960, 1280)",1549.1015,37.75046666666667
cv_Density_2592x1944.png,"(1944, 2592)","(960, 1280)",29.8974,54.894866666666665
scale_algo_Density_2592x1944.png,"(1944, 2592)","(960, 1280)",134.9255,48.35026666666666
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592)","(960, 1280)",1.386,68.23356666666666
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592)","(960, 1280)",536.5714,42.35496666666666
cv_reschart_2592x1944.png,"(1944, 2592)","(960, 1280)",1.3196,68.44683333333334
scale_algo_reschart_2592x1944.png,"(1944, 2592)","(960, 1280)",464.5833,42.98056666666667
cv_Density2_2592x1944.png,"(1944, 2592)","(480, 640)",5.0496,62.61866666666666
scale_algo_Density2_2592x1944.png,"(1944, 2592)","(480, 640)",590.9257,41.93586666666666
cv_testimg_2592x1944.png,"(1944, 2592)","(480, 640)",62.9872,51.65873333333334
scale_algo_testimg_2592x1944.png,"(1944, 2592)","(480, 640)",1324.9225,38.429366666666674
cv_Density_2592x1944.png,"(1944, 2592)","(480, 640)",79.0104,50.674366666666664
scale_algo_Density_2592x1944.png,"(1944, 2592)","(480, 640)",70.9064,51.14436666666666
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592)","(480, 640)",9.0765,60.07206666666667
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592)","(480, 640)",447.6385,43.14196666666666
cv_reschart_2592x1944.png,"(1944, 2592)","(480, 640)",9.9288,59.68226666666666
scale_algo_reschart_2592x1944.png,"(1944, 2592)","(480, 640)",410.8469,43.514466666666664
cv_Density2_2592x1944.png,"(1944, 2592)","(1080, 1920)",0.08739999999999999,80.23616666666668
scale_algo_Density2_2592x1944.png,"(1944, 2592)","(1080, 1920)",6.892500000000001,61.26746666666667
cv_testimg_2592x1944.png,"(1944, 2592)","(1080, 1920)",2.0205,66.59666666666668
scale_algo_testimg_2592x1944.png,"(1944, 2592)","(1080, 1920)",28.011800000000004,55.17786666666667
cv_Density_2592x1944.png,"(1944, 2592)","(1080, 1920)",16.2643,57.53886666666667
scale_algo_Density_2592x1944.png,"(1944, 2592)","(1080, 1920)",20.389,56.55726666666666
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592)","(1080, 1920)",0.3133,74.69166666666666
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592)","(1080, 1920)",6.8555,61.290866666666666
cv_reschart_2592x1944.png,"(1944, 2592)","(1080, 1920)",0.2413,75.82566666666666
scale_algo_reschart_2592x1944.png,"(1944, 2592)","(1080, 1920)",9.3039,59.96456666666666
