Filename,Scaled from,Scaled to,MSE,PSNR
0.0,0.0,0.0,0.0,0.0
cv_Density2_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",3.4385999999999997,64.28743333333334
Density2_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",3.3874,64.35256666666666
cv_ColorDifferenceError_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",4.1016,63.52166666666667
ColorDifferenceError_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",4.0297,63.598533333333336
cv_Density_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",0.2854,75.09666666666668
Density_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",0.2806,75.17036666666667
cv_reschart_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",2.5918,65.51526666666666
reschart_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",2.4926,65.68473333333333
cv_testimg_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",16.9185,57.36763333333334
testimg_640x480.png,"(480, 640, 3)","(1440, 1920, 3)",16.8434,57.386966666666666
