Filename,Scaled from,Scaled to,MSE,PSNR
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",0.0935,79.9431333333333
Density2_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",0.6663,71.4145666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",1.8437,66.9943666666667
testimg_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",4.4874,63.1312666666667
cv_Density_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",14.318,58.0924333333333
Density_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",15.8411,57.6533666666667
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",0.2795,75.1874333333333
ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",1.2665,68.6251666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",0.2543,75.5977666666667
reschart_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",1.2178,68.7954666666667
