Filename,Scaled from,Scaled to,MSE,PSNR
0.0,0.0,0.0,0.0,0.0
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",0.0819,80.51836666666667
Density2_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",0.0904,80.08956666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",1.7711,67.16876666666667
testimg_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",1.76,67.19613333333334
cv_Density_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",15.3604,57.78723333333334
Density_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",15.358600000000001,57.787733333333335
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",0.2185,76.25676666666668
ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",0.23749999999999996,75.89456666666666
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",0.2037,76.56136666666667
reschart_2592x1944.png,"(1944, 2592, 3)","(2916, 3888, 3)",0.3174,74.63516666666668
