Filename,Scaled from,Scaled to,MSE,PSNR
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",0.0912,80.0512666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",690.9031,41.2570666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",1.8387,67.0061666666667
scale_algo_testimg_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",1619.6219,37.5570666666667
cv_Density_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",17.4752,57.2270333333333
scale_algo_Density_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",199.0356,46.6619666666667
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",0.3561,74.1355333333333
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",560.6397,42.1643666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",0.2395,75.8581666666667
scale_algo_reschart_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",481.051,42.8293666666667
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",0.7596,70.8453666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",649.1145,41.5280666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",15.4516,57.7614666666667
scale_algo_testimg_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",1468.5971,37.9822333333333
cv_Density_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",48.1261,52.8274666666667
scale_algo_Density_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",103.9989,49.4809666666667
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",2.2926,66.0479666666667
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",512.7006,42.5525666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",1.7557,67.2067666666667
scale_algo_reschart_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",450.8884,43.1105666666667
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",5.0496,62.6186666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",590.9257,41.9358666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",62.9872,51.6587333333333
scale_algo_testimg_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",1324.9225,38.4293666666667
cv_Density_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",79.0104,50.6743666666667
scale_algo_Density_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",70.9064,51.1443666666667
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",9.0765,60.0720666666667
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",447.6385,43.1419666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",9.9288,59.6822666666667
scale_algo_reschart_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",410.8469,43.5144666666667
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",0.0874,80.2361666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",865.2766,40.2796666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",2.0205,66.5966666666667
scale_algo_testimg_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",2501.7272,35.6688666666667
cv_Density_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",16.2643,57.5388666666667
scale_algo_Density_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",152.9783,47.8049666666667
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",0.3133,74.6916666666667
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",770.5967,40.7829666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",0.2413,75.8256666666667
scale_algo_reschart_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",666.5451,41.4129666666667
