Filename,Scaled from,Scaled to,MSE,PSNR
Density2_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",696.0219,41.2249666666667
testimg_GIMP_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",1645.8252,37.4873666666667
Density_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",277.386,45.2203666666667
ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",575.658,42.0495666666667
reschart_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",483.0369,42.8114666666667
Density2_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",677.3368,41.3431666666667
testimg_GIMP_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",1575.9769,37.6757666666667
Density_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",205.992,46.5127666666667
ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",555.3985,42.2051666666667
reschart_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",466.7267,42.9606333333333
Density2_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",649.3016,41.5267666666667
testimg_GIMP_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",1498.3507,37.8950666666667
Density_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",177.3765,47.1622666666667
ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",524.783,42.4514666666667
reschart_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",447.6487,43.1418666666667
Density2_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",873.4225,40.2389666666667
testimg_GIMP_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",2535.9686,35.6097666666667
Density_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",225.683,46.1162666666667
ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",787.5048,40.6886666666667
reschart_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",670.9806,41.3841666666667
